   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:304(acquire)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      4/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      4/3    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:1349(_find_and_load)
      8/5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1210(get_data)
      4/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:693(_classify_pyc)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:829(spec_from_file_location)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1089(get_code)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
        4    0.000    0.000    0.018    0.005 popen_spawn_win32.py:46(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1013(create_module)
      9/6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:263(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        4    0.000    0.000    0.633    0.158 _base.py:314(_result_or_cancel)
        4    0.000    0.000    0.000    0.000 _base.py:328(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:726(_validate_timestamp_pyc)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
      715    0.014    0.000    0.037    0.000 word.py:178(get_extensions)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 __init__.py:102(find_spec)
        4    0.000    0.000    0.000    0.000 _base.py:337(_invoke_callbacks)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1229(path_stats)
        2    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(_path_importer_cache)
   131071    2.696    0.000    4.490    0.000 exponent.py:52(is_suffix_exponent_free)
       16    0.001    0.000    0.001    0.000 _base.py:583(map)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1180(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(get_filename)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1615(_get_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1547(find_spec)
        4    0.003    0.001    0.004    0.001 <frozen importlib._bootstrap>:162(__enter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
  2716691    9.704    0.000   10.146    0.000 word.py:216(period)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:416(__enter__)
   185090    0.131    0.000    0.222    0.000 <frozen importlib._bootstrap>:645(parent)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen os>:855(fsdecode)
      4/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1016(exec_module)
    93053    0.074    0.000   27.577    0.000 morph_bin.py:66(<lambda>)
